Year,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,
Intangibles,2.38,2.37,3.19,3.15,2.67,2.40,1.79,1.83,1.79,1.72,
Total Assets,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Long-Term Debt,2.21,2.24,2.21,2.22,2.02,1.70,1.40,0.93,0.82,0.78,
Total Liabilities,95.00,94.93,94.38,93.05,93.17,93.17,94.14,94.15,94.21,94.08,
Total Stockholders' Equity,5.00,5.07,5.62,6.95,6.83,6.83,5.86,5.85,5.79,5.92,
Total Liabilities & Equity,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Liquidity/Financial Health,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Financial Leverage,20.46,20.12,18.90,15.77,15.92,15.79,18.38,18.32,18.00,17.61,
Debt/Equity,0.45,0.45,0.42,0.35,0.32,0.27,0.26,0.17,0.15,0.14,
Efficiency,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,
Fixed Assets Turnover,7.23,7.91,5.30,4.51,4.70,5.18,5.45,6.03,6.26,6.14,
Asset Turnover,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
