id,sentiment
6722_1,0.33
188_10,0.81
5099_10,0.61
10313_1,0.34
6756_9,0.71
6622_2,0.16
4807_10,0.67
7173_3,0.53
11321_8,0.48
7909_9,0.56
8012_7,0.36
8615_4,0.26
8117_10,0.53
1892_10,0.54
4617_1,0.35
1893_8,0.52
5435_1,0.23
162_3,0.34
6516_10,0.64
11588_7,0.64
2006_1,0.15
1594_4,0.17
1472_1,0.2
3647_1,0.62
174_7,0.64
5539_7,0.22
3384_10,0.82
3811_4,0.59
4079_8,0.67
1179_7,0.67
3069_9,0.82
3769_8,0.51
9247_10,0.78
10434_1,0.35
1147_10,0.84
5344_7,0.72
8073_10,0.58
7833_3,0.14
8370_1,0.31
9007_8,0.28
6624_7,0.57
6683_3,0.29
12275_7,0.39
11927_8,0.62
1560_10,0.86
1325_9,0.54
3548_8,0.41
607_1,0.15
6702_7,0.37
5702_3,0.23
11345_8,0.71
3428_4,0.39
7209_9,0.85
8425_8,0.65
3087_1,0.27
1119_8,0.53
5715_3,0.49
8645_1,0.32
2149_3,0.32
10403_10,0.36
5628_1,0.28
5570_10,0.81
1613_3,0.39
1454_4,0.64
5094_3,0.26
7982_1,0.22
6894_2,0.52
6554_1,0.29
4721_3,0.35
6904_4,0.34
893_8,0.72
4605_4,0.58
11516_7,0.54
11718_7,0.78
5956_1,0.24
7455_9,0.71
6396_4,0.78
1223_8,0.62
8556_1,0.38
6108_8,0.52
11690_1,0.21
3778_9,0.39
3627_4,0.5
8256_4,0.49
533_1,0.11
5235_4,0.47
621_2,0.49
5365_1,0.55
8180_3,0.41
7396_7,0.27
9776_10,0.76
8175_10,0.77
3128_1,0.32
4606_1,0.46
6158_2,0.35
3281_10,0.7
4723_4,0.24
11994_3,0.34
7701_1,0.1
103_3,0.32
8908_10,0.82
8876_1,0.22
7519_9,0.65
12456_8,0.42
9514_8,0.66
8680_8,0.26
12402_10,0.29
362_2,0.52
9825_7,0.57
2913_3,0.5
7164_8,0.65
11177_7,0.65
5707_10,0.85
8103_10,0.73
6289_1,0.09
11754_1,0.52
11640_10,0.91
9933_7,0.58
185_10,0.74
242_10,0.82
9369_8,0.65
7453_10,0.56
7514_7,0.29
10860_2,0.28
8663_8,0.46
9108_1,0.21
7941_1,0.35
10116_1,0.14
9841_4,0.34
4512_9,0.66
4853_2,0.28
2664_4,0.59
9966_10,0.77
5167_2,0.33
3894_2,0.35
3929_8,0.57
7165_10,0.7
5451_8,0.62
2947_4,0.46
4611_10,0.75
5807_1,0.14
9464_8,0.69
3124_10,0.67
2705_4,0.52
12187_8,0.94
12319_10,0.66
9874_3,0.41
3406_4,0.43
2327_10,0.66
605_10,0.7
8080_4,0.49
3074_10,0.83
2499_3,0.38
1013_1,0.38
11535_1,0.27
4118_7,0.43
10492_8,0.81
2129_4,0.54
9814_10,0.5
10671_9,0.6
5980_10,0.9
2755_2,0.25
5461_2,0.42
11979_1,0.38
8810_1,0.05
852_7,0.66
10961_4,0.3
7436_4,0.5
11281_3,0.44
4208_3,0.1
8213_10,0.78
9851_2,0.46
4713_7,0.35
9528_1,0.59
3595_10,0.8
5785_3,0.41
10370_3,0.33
1980_3,0.48
8800_4,0.36
4437_3,0.36
28_3,0.29
12171_1,0.34
9359_3,0.38
3831_9,0.83
10962_7,0.79
1500_9,0.46
11470_10,0.74
11843_3,0.26
11200_4,0.53
1067_1,0.12
3333_1,0.18
4487_4,0.81
6428_1,0.33
575_7,0.23
10904_9,0.59
11821_2,0.45
11605_1,0.35
1111_7,0.58
10295_1,0.47
1146_4,0.16
2405_9,0.38
11081_10,0.6
2201_10,0.67
4844_1,0.22
11007_8,0.8
6535_7,0.82
2653_4,0.17
8245_10,0.56
9951_8,0.71
6133_8,0.35
10006_2,0.15
7350_1,0.42
4509_9,0.86
948_1,0.16
3987_1,0.42
2947_10,0.4
6041_3,0.42
2946_1,0.25
11967_4,0.28
1185_10,0.88
10323_2,0.59
11706_2,0.1
3663_1,0.22
5602_10,0.82
4870_10,0.66
1994_1,0.38
10807_7,0.83
6871_3,0.78
1175_2,0.26
10919_7,0.92
8127_10,0.56
12497_4,0.4
3274_1,0.53
2568_3,0.46
840_2,0.33
5626_10,0.92
7561_10,0.8
4600_3,0.36
3324_9,0.46
8899_7,0.64
5592_8,0.58
12483_4,0.33
7874_1,0.1
5878_10,0.75
4303_9,0.58
9421_1,0.36
10269_4,0.29
10615_2,0.3
2634_10,0.62
7522_1,0.47
9289_10,0.63
4636_10,0.77
1241_7,0.58
9458_9,0.48
11690_10,0.79
7176_4,0.4
6212_10,0.68
6319_1,0.4
5229_3,0.38
466_9,0.73
8693_2,0.37
2952_10,0.71
1128_1,0.2
3975_10,0.77
11365_10,0.97
2074_9,0.65
9768_10,0.84
4895_1,0.29
5726_10,0.75
9993_10,0.91
11319_2,0.62
10561_2,0.5
5455_8,0.77
10684_3,0.52
3652_3,0.36
7825_1,0.23
8806_1,0.28
275_10,0.83
2246_1,0.33
11968_2,0.17
2528_1,0.56
8491_8,0.35
13_1,0.65
4530_8,0.57
5207_3,0.32
11648_10,0.48
8260_1,0.33
10730_10,0.64
10402_3,0.42
8077_1,0.09
8598_8,0.57
2809_3,0.28
12490_10,0.63
1447_9,0.82
1605_3,0.35
2311_4,0.17
3235_9,0.54
5725_10,0.65
9025_10,0.71
6049_9,0.42
4803_10,0.83
191_9,0.6
420_3,0.52
5238_2,0.18
1280_9,0.63
9408_4,0.37
819_1,0.04
1656_4,0.59
9964_3,0.36
10404_4,0.71
12369_10,0.92
6423_1,0.22
9942_8,0.48
1519_1,0.34
100_10,0.64
3216_10,0.71
3909_10,0.44
5034_7,0.79
14_8,0.8
5891_3,0.33
8496_10,0.97
7429_1,0.2
9457_1,0.25
9602_8,0.63
4198_1,0.28
154_2,0.45
5070_2,0.14
4207_8,0.53
7758_8,0.33
4439_9,0.66
12042_1,0.22
7244_1,0.07
6854_1,0.4
11932_10,0.64
4151_10,0.77
7265_1,0.56
10272_7,0.7
4256_4,0.44
1225_7,0.63
956_10,0.89
6389_2,0.32
1365_4,0.3
4752_7,0.57
276_10,0.77
8766_9,0.55
11225_10,0.59
6920_1,0.25
11536_1,0.18
1923_9,0.78
11460_10,0.51
10054_7,0.59
10845_1,0.05
10231_4,0.42
9430_8,0.72
3226_2,0.11
4298_3,0.27
10635_4,0.36
10567_4,0.27
5460_10,0.61
7310_7,0.54
10330_2,0.21
5151_9,0.67
11_3,0.7
1448_8,0.43
10130_8,0.62
2199_3,0.28
1761_10,0.75
2782_1,0.24
7618_10,0.68
85_10,0.82
5730_3,0.38
3641_1,0.44
8190_9,0.69
9533_10,0.74
9508_1,0.23
237_8,0.83
3981_7,0.68
7194_9,0.67
10584_8,0.61
248_2,0.15
8358_4,0.28
1218_1,0.08
4191_10,0.39
3090_8,0.59
11923_2,0.35
1640_8,0.58
9972_3,0.47
11818_4,0.58
4350_10,0.74
877_10,0.39
10017_8,0.57
7975_10,0.77
8436_1,0.41
6024_7,0.51
3112_1,0.2
951_10,0.69
1622_1,0.21
191_3,0.52
5669_1,0.17
1891_4,0.39
12173_9,0.48
7887_7,0.64
3256_10,0.27
5419_1,0.19
7635_1,0.34
8297_2,0.31
7137_8,0.54
7562_3,0.46
9944_1,0.16
4288_1,0.17
8087_1,0.41
4771_10,0.82
10482_10,0.67
5324_10,0.94
3080_1,0.26
10923_7,0.66
1753_7,0.65
317_10,0.64
12474_8,0.5
773_8,0.74
388_1,0.45
12141_2,0.36
5667_1,0.57
1071_9,0.58
2897_10,0.66
9481_4,0.54
12025_1,0.17
8879_7,0.5
5683_1,0.35
7026_1,0.1
2439_1,0.39
3631_7,0.64
1650_9,0.75
5378_7,0.78
9745_1,0.05
11563_8,0.64
299_8,0.6
9471_2,0.49
1866_1,0.2
2639_4,0.39
5122_1,0.36
12341_7,0.41
2936_8,0.76
8647_10,0.53
4255_9,0.58
7262_8,0.31
8413_10,0.6
10080_1,0.23
3973_1,0.44
8752_9,0.86
4018_2,0.4
7669_1,0.18
10421_4,0.45
7854_8,0.76
162_8,0.4
11614_9,0.57
11343_8,0.73
1708_7,0.39
7115_4,0.48
10498_10,0.32
2944_8,0.64
10474_3,0.43
1263_1,0.32
1693_4,0.81
9600_9,0.36
11173_2,0.38
3961_2,0.44
8011_1,0.19
7386_8,0.61
8787_8,0.82
12349_9,0.78
1776_4,0.32
5885_4,0.58
220_4,0.42
5547_8,0.69
2853_1,0.38
2157_2,0.36
11667_2,0.37
194_7,0.58
1633_1,0.25
6897_2,0.27
11568_2,0.4
9219_1,0.38
477_8,0.7
8980_3,0.88
4612_10,0.72
8030_10,0.73
1846_8,0.85
2786_8,0.66
2634_1,0.06
3110_8,0.86
11587_8,0.66
11262_8,0.46
5680_7,0.38
4583_4,0.51
1451_1,0.13
4244_4,0.43
6176_4,0.4
8851_10,0.75
908_9,0.75
7494_9,0.34
8061_3,0.32
789_1,0.4
2374_7,0.5
11225_3,0.09
4467_4,0.11
8516_10,0.57
4121_10,0.63
10267_7,0.51
6040_8,0.79
8338_7,0.63
2903_7,0.91
6662_9,0.58
5333_10,0.81
7470_4,0.4
8813_1,0.46
4514_3,0.6
9584_7,0.39
11706_8,0.65
11538_8,0.82
4210_1,0.05
8984_1,0.21
3431_4,0.22
4973_10,0.71
12260_1,0.15
4267_10,0.8
9906_9,0.74
670_7,0.7
6270_3,0.19
5164_4,0.37
9741_2,0.34
3761_8,0.56
2651_2,0.36
7448_10,0.66
7184_9,0.88
1313_9,0.6
10654_8,0.82
7151_1,0.23
2320_10,0.69
12033_7,0.61
6429_1,0.27
1420_4,0.72
3002_7,0.38
1299_1,0.25
7897_9,0.69
1529_4,0.25
9760_2,0.36
11318_1,0.19
2217_3,0.34
11641_2,0.26
7238_10,0.65
7710_8,0.74
12011_8,0.4
4495_7,0.81
11144_4,0.21
5625_2,0.43
2926_7,0.35
8538_8,0.49
8875_10,0.66
10881_10,0.62
1662_7,0.73
4560_9,0.59
6714_4,0.23
9059_10,0.76
6631_10,0.59
8520_1,0.03
918_4,0.55
3102_10,0.5
3611_2,0.29
8434_10,0.67
681_7,0.87
7386_4,0.24
7566_9,0.37
10110_10,0.47
10486_10,0.74
1492_3,0.39
11823_1,0.16
2331_9,0.69
2200_2,0.32
9547_1,0.29
785_2,0.31
5101_4,0.47
5657_10,0.5
6902_7,0.52
1490_9,0.65
7148_9,0.73
7387_8,0.52
8277_9,0.73
6912_7,0.85
170_2,0.5
7702_10,0.81
4393_3,0.19
2608_3,0.69
4931_8,0.53
10589_10,0.59
8623_4,0.22
6057_2,0.29
2704_9,0.9
1790_2,0.28
12370_1,0.13
159_1,0.24
343_9,0.77
2128_9,0.86
11181_8,0.63
11775_10,0.67
3514_10,0.56
6993_2,0.06
2866_9,0.52
1000_9,0.77
11772_7,0.32
3355_9,0.63
8519_8,0.41
7879_3,0.36
4332_10,0.69
5403_1,0.1
1514_7,0.42
7904_1,0.15
10550_2,0.44
11442_10,0.72
2821_3,0.36
5766_1,0.21
8061_9,0.72
2166_1,0.21
6206_1,0.36
11124_2,0.24
7625_10,0.45
90_9,0.39
7959_10,0.79
7029_10,0.66
779_8,0.74
1101_4,0.37
11189_4,0.35
9790_4,0.24
10861_1,0.38
5902_2,0.48
9545_10,0.41
3730_1,0.1
4951_9,0.49
3295_1,0.31
9495_2,0.52
2876_1,0.6
2796_1,0.16
10338_3,0.48
10913_7,0.43
4685_2,0.27
11586_1,0.26
4904_7,0.37
7110_7,0.59
2086_4,0.47
7372_7,0.47
135_9,0.63
7038_3,0.45
1119_2,0.2
5057_8,0.57
3479_10,0.96
6489_8,0.66
4910_8,0.76
5979_10,0.54
11304_1,0.06
2102_9,0.59
8048_1,0.16
12153_7,0.63
4832_8,0.54
3079_9,0.72
8254_2,0.54
7981_7,0.57
611_1,0.56
307_10,0.55
8861_3,0.12
4635_4,0.52
6197_7,0.82
6739_3,0.42
8588_9,0.52
8461_7,0.69
10089_1,0.38
2609_7,0.3
1418_3,0.46
2661_10,0.67
1253_9,0.69
8815_9,0.57
9867_8,0.66
2155_1,0.26
12259_4,0.21
11224_3,0.26
4781_1,0.14
4354_9,0.74
9629_9,0.69
3629_9,0.66
6445_10,0.81
9526_10,0.82
5138_2,0.22
349_10,0.43
2099_7,0.48
4411_1,0.52
8127_3,0.52
5225_8,0.61
7970_3,0.45
5688_7,0.53
12099_3,0.47
6020_4,0.32
3892_8,0.81
2098_8,0.58
4851_7,0.69
10967_10,0.43
6230_4,0.45
2211_2,0.45
11978_10,0.67
8802_1,0.34
11010_3,0.25
10083_2,0.52
5588_10,0.5
958_10,0.6
6771_4,0.49
6767_9,0.64
7302_10,0.87
5324_3,0.23
7737_10,0.74
8603_10,0.5
3029_7,0.75
8640_2,0.26
2139_1,0.11
6305_10,0.86
6884_7,0.73
5534_8,0.41
7619_8,0.91
10057_8,0.58
972_7,0.64
6245_8,0.61
6627_7,0.62
3621_10,0.51
2290_4,0.61
24_4,0.32
5689_1,0.11
6497_4,0.36
12405_4,0.61
11720_7,0.94
10088_1,0.21
9258_9,0.9
354_4,0.74
4770_10,0.58
1035_3,0.5
739_1,0.29
6267_7,0.61
1562_8,0.66
1438_1,0.17
281_8,0.92
1818_1,0.46
3943_3,0.58
8116_4,0.49
6984_1,0.27
5330_4,0.22
8821_8,0.76
10484_10,0.89
1886_4,0.43
7943_2,0.44
6438_7,0.68
8931_10,0.8
10538_10,0.46
534_10,0.89
7329_2,0.3
6614_2,0.71
710_10,0.8
3120_4,0.39
9046_1,0.36
5638_2,0.15
2455_4,0.4
2652_3,0.24
11006_4,0.37
5065_3,0.3
9805_10,0.76
7092_8,0.67
1735_10,0.76
3609_1,0.22
1201_10,0.77
11024_9,0.97
3807_10,0.79
4483_10,0.41
4510_7,0.84
8037_1,0.33
1760_1,0.47
133_8,0.61
9039_8,0.71
8462_4,0.41
2468_10,0.79
7684_3,0.32
10350_9,0.71
1199_10,0.63
8560_1,0.17
6405_3,0.33
1295_1,0.26
6420_1,0.2
12183_9,0.8
11619_1,0.29
1415_9,0.63
9414_1,0.18
7640_4,0.37
9211_9,0.5
557_9,0.71
4501_9,0.74
8711_10,0.38
2402_1,0.37
4586_10,0.51
176_3,0.36
3545_1,0.26
8932_1,0.08
5829_10,0.66
3409_10,0.75
3636_3,0.55
12048_7,0.58
10468_10,0.66
11546_10,0.55
9444_10,0.69
6275_1,0.31
152_4,0.44
4767_9,0.57
6751_1,0.22
10245_4,0.26
5407_8,0.59
1923_1,0.29
515_9,0.4
9988_1,0.53
5928_8,0.65
10163_4,0.5
7969_10,0.51
1494_4,0.31
11211_10,0.67
1957_1,0.09
8484_7,0.48
848_2,0.15
5177_1,0.41
10667_10,0.56
3075_1,0.41
9443_10,0.54
1572_8,0.73
11285_8,0.25
3125_1,0.36
9265_9,0.83
4072_1,0.37
6390_2,0.4
6496_4,0.63
8766_2,0.18
7787_10,0.68
5897_10,0.93
9027_1,0.2
1538_2,0.06
1220_3,0.18
8600_3,0.44
11432_2,0.35
1424_4,0.47
7344_10,0.79
10842_1,0.3
10332_10,0.71
4340_4,0.38
4868_4,0.28
11216_9,0.72
12027_10,0.58
6785_7,0.81
8773_8,0.68
8119_4,0.48
10138_10,0.64
7197_2,0.16
1536_3,0.13
9981_7,0.55
4753_1,0.4
2795_7,0.29
6672_4,0.17
10805_7,0.58
5866_1,0.26
570_1,0.17
11965_8,0.61
3288_1,0.5
8135_1,0.24
10094_9,0.58
5845_10,0.59
3570_8,0.48
1240_1,0.22
231_1,0.19
10628_9,0.64
3536_1,0.12
1852_10,0.6
8202_7,0.51
5907_7,0.54
1759_10,0.61
4492_10,0.72
4844_7,0.48
3189_10,0.79
3403_10,0.79
5874_2,0.15
7809_10,0.83
3632_9,0.73
11767_2,0.66
9925_3,0.67
4218_1,0.77
12036_7,0.45
8973_2,0.45
2464_10,0.66
4094_1,0.45
10592_1,0.33
10648_9,0.71
3887_10,0.6
9092_8,0.63
10666_10,0.76
8389_10,0.65
5281_10,0.67
6946_1,0.16
1132_1,0.33
10052_4,0.26
768_10,0.9
5432_3,0.28
7424_3,0.31
2366_2,0.35
2865_3,0.53
7806_2,0.28
8878_3,0.33
6298_7,0.71
4517_4,0.36
12018_10,0.64
3662_1,0.22
11393_10,0.65
2071_10,0.84
8217_8,0.86
6568_2,0.24
3840_10,0.7
1666_3,0.73
2360_7,0.48
5778_4,0.48
5341_4,0.47
4044_2,0.08
2503_3,0.27
4095_10,0.65
2092_2,0.2
2707_3,0.34
573_10,0.52
6441_7,0.71
7565_3,0.3
9499_7,0.49
657_10,0.92
8840_10,0.52
1407_4,0.51
12453_2,0.29
8273_9,0.78
8366_7,0.59
10643_9,0.58
9998_1,0.09
1385_1,0.13
1354_4,0.5
4674_7,0.51
3515_4,0.63
10426_8,0.69
10226_3,0.32
10391_4,0.49
9968_1,0.22
2893_3,0.17
2546_9,0.56
37_1,0.16
1757_10,0.73
1569_8,0.72
1466_3,0.34
7783_1,0.12
9506_10,0.63
10835_3,0.33
2917_9,0.63
2495_7,0.68
1686_10,0.7
2414_7,0.37
5318_8,0.62
8858_8,0.63
8112_1,0.28
6532_2,0.2
2526_10,0.56
11089_7,0.72
4297_8,0.64
3179_9,0.82
5832_10,0.75
10539_8,0.49
9226_10,0.62
9878_1,0.44
7940_10,0.88
7195_10,0.68
2979_1,0.59
3597_10,0.95
2931_8,0.43
8571_10,0.35
12148_1,0.06
4047_2,0.11
6164_10,0.78
2214_8,0.74
5903_1,0.43
7931_9,0.54
1205_3,0.36
5983_10,0.82
10424_7,0.57
11032_7,0.81
1303_10,0.61
10390_1,0.24
8349_2,0.2
3605_8,0.81
12273_1,0.11
60_1,0.16
3879_9,0.76
12431_4,0.38
4499_2,0.28
5786_10,0.56
5521_4,0.67
793_8,0.69
7948_3,0.41
9022_2,0.32
11071_1,0.14
4991_3,0.42
8226_1,0.37
8762_3,0.29
6918_4,0.5
844_10,0.69
11503_8,0.48
7406_8,0.84
7743_1,0.34
514_3,0.3
10927_9,0.6
3731_7,0.79
8870_4,0.6
11099_10,0.87
8456_10,0.69
10944_7,0.4
7168_3,0.34
3378_10,0.44
8203_3,0.69
5676_1,0.4
5061_9,0.72
6238_8,0.46
1136_8,0.49
6234_3,0.32
9510_3,0.62
9632_7,0.2
4357_1,0.48
1176_9,0.75
10821_8,0.97
4143_4,0.41
5074_8,0.59
11673_1,0.33
11072_2,0.15
1816_4,0.58
3974_7,0.61
796_4,0.4
8540_2,0.55
10959_8,0.71
4576_10,0.46
7030_1,0.33
3340_10,0.73
3223_3,0.16
3030_1,0.34
4194_1,0.14
11322_1,0.22
1785_1,0.29
7109_2,0.21
4120_1,0.29
3024_7,0.77
589_2,0.19
2480_10,0.58
4878_1,0.34
571_1,0.45
12156_8,0.79
7547_9,0.83
6577_10,0.8
7101_3,0.56
1731_3,0.52
10424_1,0.3
9056_10,0.7
11959_3,0.29
6952_4,0.47
8709_10,0.71
4716_10,0.73
2393_10,0.87
4007_7,0.51
1196_2,0.43
8483_1,0.34
1840_3,0.48
6108_1,0.14
4621_8,0.48
11332_4,0.85
8800_10,0.74
886_7,0.73
6495_8,0.47
6193_10,0.45
10297_1,0.21
4233_1,0.44
3121_10,0.61
1681_10,0.75
5789_1,0.39
6446_10,0.97
479_9,0.62
6401_1,0.06
7602_1,0.23
10792_1,0.25
11436_9,0.5
6944_1,0.36
6275_9,0.25
7314_10,0.95
8887_9,0.33
1835_8,0.81
8403_7,0.57
2090_1,0.24
12310_1,0.26
9795_9,0.69
4260_1,0.17
3214_4,0.37
10974_8,0.75
3374_10,0.47
2251_2,0.32
2325_7,0.68
28_9,0.64
1758_2,0.49
1222_8,0.62
1229_4,0.45
9791_2,0.6
3433_4,0.35
10847_10,0.88
5020_2,0.13
9652_3,0.39
1739_10,0.84
10441_4,0.69
9002_7,0.64
4304_8,0.82
290_9,0.55
1339_8,0.61
10899_1,0.31
8723_8,0.39
12487_7,0.47
10384_7,0.69
4673_4,0.15
11679_1,0.27
3938_2,0.37
2253_10,0.85
198_7,0.65
3346_3,0.43
11543_3,0.08
8463_1,0.24
1297_2,0.27
4689_1,0.11
4681_1,0.18
961_8,0.77
9865_2,0.51
770_3,0.21
10495_2,0.45
6302_8,0.72
6232_4,0.59
10098_1,0.29
8905_2,0.1
8853_10,0.51
6081_10,0.66
12_4,0.47
1291_7,0.71
1679_1,0.32
996_7,0.61
3343_10,0.75
6083_10,0.72
98_9,0.77
962_4,0.47
4857_8,0.84
12394_7,0.69
1321_10,0.72
8994_10,0.79
7788_1,0.39
9708_8,0.63
9523_1,0.27
11785_4,0.52
5440_1,0.3
1091_7,0.65
11584_10,0.59
5369_3,0.68
3165_10,0.48
3686_10,0.67
7069_10,0.41
427_3,0.42
895_8,0.7
4565_8,0.55
5139_9,0.54
5027_1,0.2
503_9,0.87
7630_1,0.03
8552_1,0.38
4322_3,0.14
3492_3,0.64
5301_4,0.35
752_4,0.21
4307_2,0.19
4901_10,0.91
233_2,0.57
10789_8,0.45
270_8,0.82
11442_1,0.23
3688_7,0.64
9928_7,0.55
6563_8,0.61
3437_7,0.54
10495_8,0.63
8775_10,0.91
12172_3,0.61
10085_10,0.77
8394_9,0.31
2607_10,0.7
6645_10,0.5
301_10,0.75
2153_10,0.84
1967_3,0.26
9604_10,0.75
10665_10,0.59
5409_1,0.18
6707_10,0.89
3847_7,0.61
9261_10,0.89
3772_1,0.17
8950_1,0.52
6591_2,0.15
2765_9,0.39
4166_10,0.65
11418_3,0.4
7137_3,0.28
3710_2,0.28
1153_4,0.48
4155_8,0.55
9221_10,0.58
8917_10,0.57
6066_4,0.55
5366_10,0.83
2520_9,0.43
11677_2,0.37
4032_2,0.23
4041_2,0.17
474_4,0.57
6392_2,0.43
6545_10,0.78
5009_10,0.4
3060_10,0.58
11033_10,0.76
297_10,0.57
9099_1,0.43
10496_10,0.63
5619_3,0.45
4226_1,0.29
10483_8,0.79
1966_9,0.85
4024_2,0.19
6448_9,0.74
4252_1,0.01
250_10,0.89
10753_3,0.56
1005_7,0.53
4415_9,0.55
240_4,0.8
108_10,0.71
1393_1,0.44
4236_2,0.43
9208_2,0.3
7156_10,0.87
6490_1,0.14
3518_3,0.34
10308_1,0.08
8706_2,0.39
8674_10,0.79
8240_10,0.74
11890_10,0.83
976_3,0.43
5025_8,0.98
10206_8,0.77
11921_3,0.33
8344_7,0.38
295_8,0.72
2121_1,0.15
6978_8,0.55
707_3,0.28
751_1,0.34
1931_10,0.78
7197_10,0.63
11032_3,0.26
416_10,0.75
1384_2,0.37
4114_2,0.36
9450_10,0.69
6877_7,0.67
5092_9,0.88
3402_9,0.76
9517_10,0.88
8566_2,0.12
4493_1,0.14
842_1,0.3
4926_1,0.41
3398_9,0.73
8857_10,0.54
3696_9,0.7
1952_1,0.31
5516_3,0.58
3297_10,0.55
8396_2,0.29
1928_4,0.39
7216_10,0.87
1648_3,0.25
9312_8,0.67
4392_2,0.32
4740_9,0.37
2985_4,0.18
6407_10,0.6
4015_1,0.35
911_10,0.93
7898_1,0.1
5241_10,0.7
4955_4,0.37
4199_1,0.2
8319_4,0.6
6340_1,0.27
2003_1,0.21
11213_3,0.38
5109_4,0.46
9400_1,0.42
10719_7,0.57
6848_8,0.74
11398_1,0.27
2606_7,0.66
5646_1,0.21
4103_10,0.67
8906_9,0.66
6997_10,0.61
9990_1,0.46
6573_1,0.4
8530_10,0.42
8382_9,0.54
4207_2,0.48
8794_10,0.59
917_9,0.78
10739_9,0.88
4286_1,0.36
1763_1,0.37
5173_10,0.75
1764_1,0.41
3614_3,0.5
3880_10,0.8
4059_1,0.16
8786_8,0.64
9553_2,0.27
10599_8,0.31
1048_4,0.52
8136_7,0.52
8715_8,0.71
7667_7,0.5
5647_2,0.31
6267_1,0.19
12444_10,0.58
7390_10,0.38
7260_7,0.57
6170_10,0.86
2181_2,0.45
6196_7,0.78
12058_9,0.34
8915_7,0.63
6816_10,0.81
730_9,0.78
5808_10,0.87
6256_2,0.18
5157_4,0.41
7970_10,0.6
6991_7,0.67
7112_4,0.69
12136_4,0.5
1554_8,0.29
8289_4,0.35
12452_8,0.68
6181_8,0.65
6237_8,0.68
9724_10,0.67
7991_1,0.27
8185_4,0.42
12162_1,0.41
8330_9,0.8
84_3,0.14
4879_4,0.56
1173_7,0.77
11095_2,0.3
9934_8,0.77
10791_9,0.44
5260_10,0.66
3123_3,0.42
7500_1,0.12
9472_8,0.58
6349_9,0.59
8706_8,0.56
12385_4,0.39
12409_4,0.44
809_10,0.59
11380_2,0.24
4975_8,0.78
5069_3,0.47
8132_7,0.63
5628_10,0.85
12329_8,0.75
8217_3,0.4
251_2,0.63
2901_7,0.69
4588_1,0.33
2647_10,0.64
